,mbta_part_number,description,mfg,mfg_itm_id
30146,31416006,"COUPLING 3/4"" O.F. ROLLED BAR STEEL AUTOMATIC HOSE",BOWES,51556
30147,31416006,"COUPLING 3/4"" O.F. ROLLED BAR STEEL AUTOMATIC HOSE",BOWES,75-S-0F6
30148,31416007,"COUPLING 3/4"" ROLLD B AR STL AUTOM HSE/US AIR COM CO",BOWES,51546-S
30149,31416008,"COUPLING 3/4"" HOSE-HOSE SHANK-MALE END W/LOCKSLEV",BOWES,51526-1
30150,31416008,"COUPLING 3/4"" HOSE-HOSE SHANK-MALE END W/LOCKSLEV",BOWES,75-S-HMS6
30151,31416008,"COUPLING 3/4"" HOSE-HOSE SHANK-MALE END W/LOCKSLEV",DIXON,QM44
30152,31416009,COUPLING-3/4IN YF BRASS AUTOMATIC HOSE,BOWES,75-B-YF BRASS
30153,31416009,COUPLING-3/4IN YF BRASS AUTOMATIC HOSE,BOWES,51731 BRASS
30154,31417005,CANVAS COVER-FULL SZ TARP 10'X12' W/GROMMET EVRY 2'ALL SDE,GENERIC,CARD TO BUYER
30155,31418001,"NIPPERS-CUTTING (PLI ERS) 10""",CHANNELOCK,148-10
30156,31418009,"CUTTERS-CTR CUT W/SI MPL ADJ SCRW-30"" LONG-HK PORTER",GRAINGER,2H013
30157,31418009,"CUTTERS-CTR CUT W/SI MPL ADJ SCRW-30"" LONG-HK PORTER",H.K.PORTER,0290MC
30158,31418011,BOLT CUTTERS-COMPLETE CLI PPERCUT 30 IN LONG,H.K. PORTE,0290MNE
30159,31418019,CUTTER-CABLE SHEAR TYPE WITH FIBERGLASS HANDLES,GRAINGER,2H009
30160,31418019,CUTTER-CABLE SHEAR TYPE WITH FIBERGLASS HANDLES,H K PORTER,0290-FCS - OBS 1.11.16
30161,31418019,CUTTER-CABLE SHEAR TYPE WITH FIBERGLASS HANDLES,KLEIN TOOLS,KLEIN TOOLS - 63041
30162,31420005,DRILL USE 021-17-005 DO NOT REORDER,-MORSE----,NO. 1340---
30163,31420006,DRILL-#6 WIRE GAUGE SZE HI SPEED STL STRAGHT SHANK,MORSE,NO 1385-S
30164,31420006,DRILL-#6 WIRE GAUGE SZE HI SPEED STL STRAGHT SHANK,NEW PROCES,NO. 407----
30165,31420006,DRILL-#6 WIRE GAUGE SZE HI SPEED STL STRAGHT SHANK,PRECISION,R-18-D
30166,31420009,DRILL-NO 9 SS,GENERIC,NO. 407
